cpdid,seq.id,num_runs
CPDC130199,SEQ-130006,4
CPDC130199,SEQ-130008,4
CPDC130199,SEQ-130009,4
CPDC130199,SEQ-130010,4
CPDC130202,SEQ-130006,4
CPDC130202,SEQ-130008,4
CPDC130202,SEQ-130009,4
CPDC130202,SEQ-130010,4
CPDC130203,SEQ-130006,4
CPDC130203,SEQ-130008,4
CPDC130203,SEQ-130009,4
CPDC130203,SEQ-130010,4
CPDC130286,SEQ-130014,2
CPDC130286,SEQ-130016,2
CPDC130293,SEQ-130016,2
CPDC130293,SEQ-130019,2
CPDC130301,SEQ-130016,5
CPDC130301,SEQ-130017,5
CPDC130301,SEQ-130087,5
CPDC130301,SEQ-140083,5
CPDC130301,SEQ-150034,5
CPDC130379,SEQ-130017,2
CPDC130379,SEQ-130024,2
CPDC130386,SEQ-130020,2
CPDC130386,SEQ-130021,2
CPDC130393,SEQ-130020,2
CPDC130393,SEQ-130021,2
CPDC130403,SEQ-130024,2
CPDC130403,SEQ-130027,2
CPDC130478,SEQ-130025,4
CPDC130478,SEQ-130087,4
CPDC130478,SEQ-140083,4
CPDC130478,SEQ-150034,4
CPDC130487,SEQ-130025,4
CPDC130487,SEQ-130087,4
CPDC130487,SEQ-140077,4
CPDC130487,SEQ-150034,4
CPDC130493,SEQ-130027,4
CPDC130493,SEQ-130029,4
CPDC130493,SEQ-130031,4
CPDC130493,SEQ-130032,4
CPDC130498,SEQ-130029,3
CPDC130498,SEQ-130031,3
CPDC130498,SEQ-130032,3
CPDC130500,SEQ-130027,4
CPDC130500,SEQ-130029,4
CPDC130500,SEQ-130031,4
CPDC130500,SEQ-130032,4
CPDC130505,SEQ-130027,7
CPDC130505,SEQ-130093,7
CPDC130505,SEQ-130091,7
CPDC130505,SEQ-130087,7
CPDC130505,SEQ-140071,7
CPDC130505,SEQ-140027,7
CPDC130505,SEQ-150034,7
CPDC130506,SEQ-130029,3
CPDC130506,SEQ-130031,3
CPDC130506,SEQ-130032,3
CPDC130507,SEQ-130029,3
CPDC130507,SEQ-130031,3
CPDC130507,SEQ-130032,3
CPDC130508,SEQ-130027,2
CPDC130508,SEQ-130046,2
CPDC130512,SEQ-130029,3
CPDC130512,SEQ-130031,3
CPDC130512,SEQ-130032,3
CPDC130513,SEQ-130029,3
CPDC130513,SEQ-130031,3
CPDC130513,SEQ-130032,3
CPDC130514,SEQ-130029,3
CPDC130514,SEQ-130031,3
CPDC130514,SEQ-130032,3
CPDC130515,SEQ-130029,3
CPDC130515,SEQ-130031,3
CPDC130515,SEQ-130032,3
CPDC130516,SEQ-130029,3
CPDC130516,SEQ-130031,3
CPDC130516,SEQ-130032,3
CPDC130517,SEQ-130029,3
CPDC130517,SEQ-130031,3
CPDC130517,SEQ-130032,3
CPDC130518,SEQ-130029,3
CPDC130518,SEQ-130031,3
CPDC130518,SEQ-130032,3
CPDC130519,SEQ-130030,2
CPDC130519,SEQ-130034,2
CPDC130555,SEQ-130030,2
CPDC130555,SEQ-130034,2
CPDC130556,SEQ-130030,2
CPDC130556,SEQ-130034,2
CPDC130557,SEQ-130030,2
CPDC130557,SEQ-130034,2
CPDC130558,SEQ-130030,2
CPDC130558,SEQ-150137,2
CPDC130565,SEQ-130034,4
CPDC130565,SEQ-130041,4
CPDC130565,SEQ-130050,4
CPDC130565,SEQ-130053,4
CPDC130582,SEQ-130037,4
CPDC130582,SEQ-130040,4
CPDC130582,SEQ-130047,4
CPDC130582,SEQ-130052,4
CPDC130583,SEQ-130037,4
CPDC130583,SEQ-130040,4
CPDC130583,SEQ-130047,4
CPDC130583,SEQ-130052,4
CPDC130595,SEQ-130037,4
CPDC130595,SEQ-130041,4
CPDC130595,SEQ-130050,4
CPDC130595,SEQ-130053,4
CPDC130596,SEQ-130037,3
CPDC130596,SEQ-130041,3
CPDC130596,SEQ-130050,3
CPDC130602,SEQ-130040,3
CPDC130602,SEQ-130047,3
CPDC130602,SEQ-130052,3
CPDC130603,SEQ-130040,3
CPDC130603,SEQ-130047,3
CPDC130603,SEQ-130052,3
CPDC130604,SEQ-130040,4
CPDC130604,SEQ-130046,4
CPDC130604,SEQ-130047,4
CPDC130604,SEQ-130052,4
CPDC130606,SEQ-130040,4
CPDC130606,SEQ-130046,4
CPDC130606,SEQ-130047,4
CPDC130606,SEQ-130052,4
CPDC130607,SEQ-130040,3
CPDC130607,SEQ-130047,3
CPDC130607,SEQ-130052,3
CPDC130627,SEQ-130040,3
CPDC130627,SEQ-130047,3
CPDC130627,SEQ-130052,3
CPDC130646,SEQ-130040,3
CPDC130646,SEQ-130047,3
CPDC130646,SEQ-130052,3
CPDC130647,SEQ-130040,4
CPDC130647,SEQ-130046,4
CPDC130647,SEQ-130047,4
CPDC130647,SEQ-130052,4
CPDC130648,SEQ-130040,3
CPDC130648,SEQ-130047,3
CPDC130648,SEQ-130052,3
CPDC130650,SEQ-130040,4
CPDC130650,SEQ-130046,4
CPDC130650,SEQ-130047,4
CPDC130650,SEQ-130052,4
CPDC130651,SEQ-130040,4
CPDC130651,SEQ-130046,4
CPDC130651,SEQ-130047,4
CPDC130651,SEQ-130052,4
CPDC130652,SEQ-130040,3
CPDC130652,SEQ-130047,3
CPDC130652,SEQ-130052,3
CPDC130654,SEQ-130040,3
CPDC130654,SEQ-130047,3
CPDC130654,SEQ-130052,3
CPDC130655,SEQ-130040,3
CPDC130655,SEQ-130047,3
CPDC130655,SEQ-130052,3
CPDC130656,SEQ-130040,3
CPDC130656,SEQ-130047,3
CPDC130656,SEQ-130052,3
CPDC130657,SEQ-130040,3
CPDC130657,SEQ-130047,3
CPDC130657,SEQ-130052,3
CPDC130659,SEQ-130040,3
CPDC130659,SEQ-130047,3
CPDC130659,SEQ-130052,3
CPDC130664,SEQ-130040,3
CPDC130664,SEQ-130047,3
CPDC130664,SEQ-130052,3
CPDC130678,SEQ-130044,2
CPDC130678,SEQ-150137,2
CPDC130695,SEQ-130046,2
CPDC130695,SEQ-130048,2
CPDC130697,SEQ-130046,2
CPDC130697,SEQ-130048,2
CPDC130718,SEQ-130048,2
CPDC130718,SEQ-130050,2
CPDC130731,SEQ-130048,8
CPDC130731,SEQ-130059,8
CPDC130731,SEQ-130060,8
CPDC130731,SEQ-130062,8
CPDC130731,SEQ-130061,8
CPDC130731,SEQ-130063,8
CPDC130731,SEQ-130064,8
CPDC130731,SEQ-130073,8
CPDC130732,SEQ-130067,2
CPDC130732,SEQ-130072,2
CPDC130764,SEQ-130053,7
CPDC130764,SEQ-130059,7
CPDC130764,SEQ-130060,7
CPDC130764,SEQ-130062,7
CPDC130764,SEQ-130061,7
CPDC130764,SEQ-130063,7
CPDC130764,SEQ-130064,7
CPDC130774,SEQ-130054,2
CPDC130774,SEQ-130057,2
CPDC130797,SEQ-130054,2
CPDC130797,SEQ-130056,2
CPDC130800,SEQ-130054,2
CPDC130800,SEQ-130088,2
CPDC130831,SEQ-130056,2
CPDC130831,SEQ-130088,2
CPDC130845,SEQ-130057,5
CPDC130845,SEQ-130088,5
CPDC130845,SEQ-130087,5
CPDC130845,SEQ-140077,5
CPDC130845,SEQ-150034,5
CPDC130846,SEQ-130056,2
CPDC130846,SEQ-130057,2
CPDC130855,SEQ-130057,7
CPDC130855,SEQ-130059,7
CPDC130855,SEQ-130060,7
CPDC130855,SEQ-130062,7
CPDC130855,SEQ-130061,7
CPDC130855,SEQ-130063,7
CPDC130855,SEQ-130064,7
CPDC130858,SEQ-130057,6
CPDC130858,SEQ-130059,6
CPDC130858,SEQ-130060,6
CPDC130858,SEQ-130062,6
CPDC130858,SEQ-130061,6
CPDC130858,SEQ-130088,6
CPDC130865,SEQ-130057,9
CPDC130865,SEQ-130059,9
CPDC130865,SEQ-130060,9
CPDC130865,SEQ-130062,9
CPDC130865,SEQ-130061,9
CPDC130865,SEQ-130063,9
CPDC130865,SEQ-130064,9
CPDC130865,SEQ-130067,9
CPDC130865,SEQ-130073,9
CPDC130869,SEQ-130059,8
CPDC130869,SEQ-130060,8
CPDC130869,SEQ-130062,8
CPDC130869,SEQ-130061,8
CPDC130869,SEQ-130063,8
CPDC130869,SEQ-130064,8
CPDC130869,SEQ-130067,8
CPDC130869,SEQ-130079,8
CPDC130870,SEQ-130059,4
CPDC130870,SEQ-130060,4
CPDC130870,SEQ-130062,4
CPDC130870,SEQ-130061,4
CPDC130871,SEQ-130059,4
CPDC130871,SEQ-130060,4
CPDC130871,SEQ-130062,4
CPDC130871,SEQ-130061,4
CPDC130872,SEQ-130059,7
CPDC130872,SEQ-130060,7
CPDC130872,SEQ-130062,7
CPDC130872,SEQ-130061,7
CPDC130872,SEQ-130063,7
CPDC130872,SEQ-130064,7
CPDC130872,SEQ-130067,7
CPDC130873,SEQ-130059,4
CPDC130873,SEQ-130060,4
CPDC130873,SEQ-130062,4
CPDC130873,SEQ-130061,4
CPDC130874,SEQ-130059,8
CPDC130874,SEQ-130060,8
CPDC130874,SEQ-130062,8
CPDC130874,SEQ-130061,8
CPDC130874,SEQ-130063,8
CPDC130874,SEQ-130064,8
CPDC130874,SEQ-130067,8
CPDC130874,SEQ-130073,8
CPDC130915,SEQ-130066,4
CPDC130915,SEQ-130070,4
CPDC130915,SEQ-130088,4
CPDC130924,SEQ-130066,2
CPDC130924,SEQ-130069,2
CPDC130927,SEQ-130066,2
CPDC130927,SEQ-130068,2
CPDC130937,SEQ-130066,8
CPDC130937,SEQ-130093,8
CPDC130937,SEQ-130091,8
CPDC130937,SEQ-130088,8
CPDC130937,SEQ-130087,8
CPDC130937,SEQ-140071,8
CPDC130937,SEQ-140027,8
CPDC130937,SEQ-150034,8
CPDC131013,SEQ-130072,8
CPDC131013,SEQ-130093,8
CPDC131013,SEQ-130091,8
CPDC131013,SEQ-130088,8
CPDC131013,SEQ-130087,8
CPDC131013,SEQ-140071,8
